Feature, RSquared, MSE, Variance
Multivariate Unnormalized, 0.6061830747300803, 108.10024820152236, 274.4936574968968
Multivariate Normalized, 0.6131292825435805, 0.38687071745641943, 0.9999999999999998
Cement Unnormalized, 0.17488191912639528, 226.48967988581603, 274.4936574968968
Slag Unnormalized, -2.366505359118877, 924.0843690074445, 274.4936574968968
Ash Unnormalized, -2.8747086865402545, 1063.5829591034314, 274.4936574968968
Water Unnormalized, -0.20019829405460432, 329.44681945658436, 274.4936574968968
Superplasticizer Unnormalized, -3.7711530098412256, 1309.6512401486457, 274.4936574968968
Coarse Unnormalized, -0.08409029963130354, 297.57591140270324, 274.4936574968968
Fine Unnormalized, -0.12431111418344831, 308.61626989662585, 274.4936574968968
Age Unnormalized, -2.233565498074664, 887.5932203222893, 274.4936574968968
Cement Normalized, 0.2548288970105027, 0.7451711029894972, 0.9999999999999998
Slag Normalized, 0.015913289951797638, 0.9840867100482021, 0.9999999999999998
Ash Normalized, 0.010998700172701437, 0.9890012998272983, 0.9999999999999998
Water Normalized, 0.07692438904872789, 0.9230756109512719, 0.9999999999999998
Superplasticizer Normalized, 0.12257169837753135, 0.8774283016224684, 0.9999999999999998
Coarse Normalized, 0.025694318916668624, 0.9743056810833312, 0.9999999999999998
Fine Normalized, 0.030230584541030447, 0.9697694154589693, 0.9999999999999998
Age Normalized, 0.11321002625143695, 0.8867899737485628, 0.9999999999999998
